hsa-mir-1268b	0	0.000000	N	0.0
hsa-mir-1269a	2	0.502434	N	5.024336630554247e-07
hsa-mir-1269b	0	0.000000	N	0.0
hsa-mir-127	851	213.785524	N	0.00021378552363008322
hsa-mir-1270	5	1.256084	N	1.2560841576385618e-06
hsa-mir-1271	12	3.014602	N	3.014601978332548e-06
hsa-mir-1272	0	0.000000	N	0.0
hsa-mir-1273a	0	0.000000	N	0.0
hsa-mir-1273c	0	0.000000	N	0.0
hsa-mir-1273d	0	0.000000	N	0.0
hsa-mir-1273e	0	0.000000	N	0.0
hsa-mir-1273f	0	0.000000	N	0.0
hsa-mir-1273g	0	0.000000	N	0.0
hsa-mir-1273h	0	0.000000	N	0.0
hsa-mir-1275	1	0.251217	N	2.5121683152771237e-07
hsa-mir-1276	0	0.000000	N	0.0
hsa-mir-1277	19	4.773120	N	4.773119799026535e-06
hsa-mir-1278	0	0.000000	N	0.0
hsa-mir-1279	0	0.000000	N	0.0
hsa-mir-1281	0	0.000000	N	0.0
hsa-mir-128-1	770	193.436960	N	0.00019343696027633852
hsa-mir-1282	0	0.000000	N	0.0
hsa-mir-128-2	593	148.971581	N	0.00014897158109593344
hsa-mir-1283-1	0	0.000000	N	0.0
hsa-mir-1283-2	0	0.000000	N	0.0
hsa-mir-1284	0	0.000000	N	0.0
hsa-mir-1285-1	0	0.000000	N	0.0
hsa-mir-1285-2	0	0.000000	N	0.0
hsa-mir-1286	0	0.000000	N	0.0
hsa-mir-1287	144	36.175224	N	3.6175223739990577e-05
hsa-mir-1288	3	0.753650	N	7.53650494583137e-07
hsa-mir-1289-1	0	0.000000	N	0.0
hsa-mir-1289-2	0	0.000000	N	0.0
hsa-mir-1290	0	0.000000	N	0.0
hsa-mir-1291	8	2.009735	N	2.009734652221699e-06
hsa-mir-129-1	1471	369.539959	N	0.00036953995917726485
hsa-mir-1292	7	1.758518	N	1.7585178206939864e-06
hsa-mir-129-2	1712	430.083216	N	0.00043008321557544356
hsa-mir-1293	13	3.265819	N	3.2658188098602607e-06
hsa-mir-1294	0	0.000000	N	0.0
hsa-mir-1295a	0	0.000000	N	0.0
hsa-mir-1295b	0	0.000000	N	0.0
hsa-mir-1296	68	17.082745	N	1.708274454388444e-05
hsa-mir-1297	0	0.000000	N	0.0
hsa-mir-1298	0	0.000000	N	0.0
hsa-mir-1299	0	0.000000	N	0.0
hsa-mir-1301	237	59.538389	N	5.953838907206783e-05
hsa-mir-1302-1	0	0.000000	N	0.0
hsa-mir-1302-10	0	0.000000	N	0.0
hsa-mir-1302-11	0	0.000000	N	0.0
hsa-mir-1302-2	0	0.000000	N	0.0
hsa-mir-1302-3	0	0.000000	N	0.0
hsa-mir-1302-4	0	0.000000	N	0.0
hsa-mir-1302-5	0	0.000000	N	0.0
hsa-mir-1302-6	0	0.000000	N	0.0
hsa-mir-1302-7	0	0.000000	N	0.0
hsa-mir-1302-8	0	0.000000	N	0.0
hsa-mir-1302-9	0	0.000000	N	0.0
hsa-mir-1303	0	0.000000	N	0.0
hsa-mir-1304	2	0.502434	N	5.024336630554247e-07
hsa-mir-1305	0	0.000000	N	0.0
hsa-mir-1306	40	10.048673	N	1.0048673261108494e-05
hsa-mir-1307	6141	1542.722562	N	0.0015427225624116815
hsa-mir-130a	105	26.377767	N	2.63777673104098e-05
hsa-mir-130b	123	30.899670	N	3.089967027790862e-05
hsa-mir-132	5307	1333.207725	N	0.0013332077249175694
hsa-mir-1321	0	0.000000	N	0.0
hsa-mir-1322	0	0.000000	N	0.0
hsa-mir-1323	0	0.000000	N	0.0
hsa-mir-1324	0	0.000000	N	0.0
hsa-mir-133a-1	14	3.517036	N	3.517035641387973e-06
hsa-mir-133a-2	13	3.265819	Y	3.2658188098602607e-06
hsa-mir-133b	1	0.251217	Y	2.5121683152771237e-07
hsa-mir-134	541	135.908306	N	0.00013590830585649238
hsa-mir-1343	7	1.758518	N	1.7585178206939864e-06
hsa-mir-135a-1	108	27.131418	N	2.7131417804992936e-05
hsa-mir-135a-2	120	30.146020	N	3.0146019783325483e-05
hsa-mir-135b	1	0.251217	N	2.5121683152771237e-07
hsa-mir-136	54	13.565709	N	1.3565708902496468e-05
hsa-mir-137	1745	438.373371	N	0.00043837337101585805
hsa-mir-138-1	65	16.329094	N	1.6329094049301305e-05
hsa-mir-138-2	35	8.792589	N	8.792589103469932e-06
hsa-mir-139	402	100.989166	N	0.00010098916627414036
hsa-mir-140	11922	2995.007065	N	0.0029950070654733867
hsa-mir-141	16	4.019469	N	4.019469304443398e-06
hsa-mir-142	1432	359.742503	N	0.0003597425027476841
hsa-mir-143	290890	73076.464123	N	0.07307646412309625
hsa-mir-144	2607	654.922280	N	0.0006549222797927461
hsa-mir-145	6534	1641.450777	N	0.0016414507772020725
hsa-mir-1468	291	73.104098	N	7.310409797456429e-05
hsa-mir-1469	0	0.000000	N	0.0
hsa-mir-146a	79	19.846130	N	1.9846129690689275e-05
hsa-mir-146b	1212	304.474800	N	0.0003044747998115874
hsa-mir-1470	0	0.000000	N	0.0
hsa-mir-1471	0	0.000000	N	0.0
hsa-mir-147a	0	0.000000	N	0.0
hsa-mir-147b	0	0.000000	N	0.0
hsa-mir-148a	103754	26064.751138	N	0.026064751138326268
hsa-mir-148b	733	184.141938	N	0.00018414193750981316
hsa-mir-149	1273	319.799027	N	0.00031979902653477785
hsa-mir-150	434	109.028105	N	0.00010902810488302716
hsa-mir-151a	4931	1238.750196	N	0.0012387501962631497
hsa-mir-151b	9	2.260951	N	2.260951483749411e-06
hsa-mir-152	1928	484.346051	N	0.0004843460511854294
hsa-mir-153-1	73	18.338829	N	1.8338828701523e-05
hsa-mir-153-2	442	111.037840	N	0.00011103783953524886
hsa-mir-1537	0	0.000000	N	0.0
hsa-mir-1538	0	0.000000	N	0.0
hsa-mir-1539	0	0.000000	N	0.0
hsa-mir-154	20	5.024337	N	5.024336630554247e-06
hsa-mir-155	150	37.682525	N	3.768252472915686e-05
hsa-mir-1587	0	0.000000	N	0.0
hsa-mir-15a	875	219.814728	N	0.00021981472758674832
hsa-mir-15b	825	207.253886	N	0.0002072538860103627
